table_name,row_count,total_size,column_count,index_count,incoming_fks,referenced_by,outgoing_fks,references_tables,total_inserts,total_updates,total_deletes,last_autovacuum,last_analyze,columns
accounting_companies,14,64 kB,6,3,6,"accounting_invoices.company_id, accounting_payments.cesija_company_id, bank_credits.company_id, company_bank_accounts.company_id, company_loans.to_company_id, company_loans.from_company_id",0,null,14,0,0,null,null,"id:uuid, name:text, oib:text, initial_balance:numeric, created_at:timestamp with time zone, updated_at:timestamp with time zone"
accounting_invoices,851,1008 kB,53,34,2,"accounting_payments.invoice_id, hidden_approved_invoices.invoice_id",20,"accounting_companies, accounting_invoices_refund, apartments, bank_credits, banks, company_bank_accounts, contracts, credit_allocations, customers, investors, office_suppliers, project_investments, projects, retail_contract_milestones, retail_contracts, retail_customers, retail_projects, retail_suppliers, subcontractor_milestones, subcontractors",852,0,1,null,null,"id:uuid, invoice_type:text, company_id:uuid, supplier_id:uuid, customer_id:uuid, invoice_number:text, issue_date:date, due_date:date, base_amount:numeric, vat_rate:numeric, vat_amount:numeric, total_amount:numeric, category:text, project_id:uuid, description:text, status:text, paid_amount:numeric, remaining_amount:numeric, created_at:timestamp with time zone, updated_at:timestamp with time zone, created_by:uuid, apartment_id:uuid, bank_credit_id:uuid, investment_id:uuid, milestone_id:uuid, invoice_category:text, investor_id:uuid, bank_id:uuid, contract_id:uuid, office_supplier_id:uuid, company_bank_account_id:uuid, retail_project_id:uuid, retail_contract_id:uuid, retail_supplier_id:uuid, retail_customer_id:uuid, retail_milestone_id:uuid, base_amount_1:numeric, vat_rate_1:numeric, vat_amount_1:numeric, base_amount_2:numeric, vat_rate_2:numeric, vat_amount_2:numeric, base_amount_3:numeric, vat_rate_3:numeric, vat_amount_3:numeric, base_amount_4:numeric, vat_rate_4:numeric, vat_amount_4:numeric, approved:boolean, reference_number:text, iban:text, refund_id:bigint, credit_allocation_id:uuid"
accounting_invoices_refund,6,32 kB,2,1,1,accounting_invoices.refund_id,0,null,6,0,0,null,null,"id:bigint, name:text"
accounting_payments,224,248 kB,19,11,0,null,8,"accounting_companies, accounting_invoices, bank_credits, bank_credits, company_bank_accounts, company_bank_accounts, credit_allocations, credit_allocations",224,0,0,null,null,"id:uuid, invoice_id:uuid, payment_date:date, amount:numeric, payment_method:text, reference_number:text, description:text, created_by:uuid, created_at:timestamp with time zone, updated_at:timestamp with time zone, company_bank_account_id:uuid, is_cesija:boolean, cesija_company_id:uuid, cesija_bank_account_id:uuid, payment_source_type:text, credit_id:uuid, cesija_credit_id:uuid, credit_allocation_id:uuid, cesija_credit_allocation_id:uuid"
activity_logs,71,144 kB,10,6,0,null,2,"projects, users",71,0,0,null,null,"id:uuid, user_id:uuid, user_role:text, action:text, entity:text, entity_id:uuid, project_id:uuid, metadata:jsonb, ip_address:text, created_at:timestamp with time zone"
ai_messages,2,48 kB,9,2,0,null,1,ai_sessions,2,0,0,null,null,"id:uuid, session_id:uuid, role:text, content:jsonb, model:text, input_tokens:integer, output_tokens:integer, stop_reason:text, created_at:timestamp with time zone"
ai_sessions,1,48 kB,5,2,1,ai_messages.session_id,1,users,1,0,0,null,null,"id:uuid, user_id:uuid, title:text, created_at:timestamp with time zone, updated_at:timestamp with time zone"
apartment_garages,7,40 kB,4,2,0,null,2,"apartments, garages",7,0,0,null,null,"id:uuid, apartment_id:uuid, garage_id:uuid, created_at:timestamp with time zone"
apartment_repositories,7,40 kB,4,2,0,null,2,"apartments, repositories",7,0,0,null,null,"id:uuid, apartment_id:uuid, repository_id:uuid, created_at:timestamp with time zone"
apartments,7,32 kB,24,1,4,"accounting_invoices.apartment_id, apartment_garages.apartment_id, apartment_repositories.apartment_id, sales.apartment_id",2,"buildings, projects",7,0,0,null,null,"id:uuid, project_id:uuid, number:text, floor:integer, size_m2:numeric, price:numeric, status:text, buyer_name:text, created_at:timestamp with time zone, building_id:uuid, price_per_m2:numeric, ulaz:text, tip_stana:text, sobnost:integer, povrsina_otvoreno:numeric, povrsina_ot_sa_koef:numeric, datum_potpisa_predugovora:date, contract_payment_type:text, kapara_10_posto:numeric, rata_1_ab_konstrukcija_30:numeric, rata_2_postava_stolarije_20:numeric, rata_3_obrtnicki_radovi_20:numeric, rata_4_uporabna_20:numeric, kredit_etaziranje_90:numeric"
bank_credits,12,64 kB,25,4,5,"accounting_invoices.bank_credit_id, accounting_payments.cesija_credit_id, accounting_payments.credit_id, credit_allocations.credit_id, funding_payments.bank_credit_id",4,"accounting_companies, banks, company_bank_accounts, projects",12,0,0,null,null,"id:uuid, bank_id:uuid, project_id:uuid, credit_type:text, amount:numeric, interest_rate:numeric, start_date:date, maturity_date:date, outstanding_balance:numeric, monthly_payment:numeric, status:text, purpose:text, created_at:timestamp with time zone, usage_expiration_date:date, grace_period:integer, credit_seniority:text, repayment_type:text, principal_repayment_type:text, interest_repayment_type:text, company_id:uuid, credit_name:text, used_amount:numeric, repaid_amount:numeric, disbursed_to_account:boolean, disbursed_to_bank_account_id:uuid"
banks,9,32 kB,12,1,5,"accounting_invoices.bank_id, bank_credits.bank_id, funding_payments.bank_id, project_investments.bank_id, subcontractors.financed_by_bank_id",0,null,9,0,0,null,null,"id:uuid, name:text, contact_person:text, contact_email:text, contact_phone:text, total_credit_limit:numeric, outstanding_debt:numeric, available_funds:numeric, interest_rate:numeric, relationship_start:date, notes:text, created_at:timestamp with time zone"
buildings,4,32 kB,6,1,3,"apartments.building_id, garages.building_id, repositories.building_id",1,projects,4,0,0,null,null,"id:uuid, project_id:uuid, name:text, description:text, total_floors:integer, created_at:timestamp with time zone"
calendar_event_exceptions,0,32 kB,8,3,0,null,1,calendar_events,0,0,0,null,null,"id:uuid, event_id:uuid, original_start_at:timestamp with time zone, override_start_at:timestamp with time zone, override_end_at:timestamp with time zone, override_title:text, is_cancelled:boolean, created_at:timestamp with time zone"
calendar_event_participants,7,80 kB,6,4,0,null,2,"calendar_events, users",7,0,0,null,null,"id:uuid, event_id:uuid, user_id:uuid, response:text, acknowledged_at:timestamp with time zone, created_at:timestamp with time zone"
calendar_events,3,104 kB,16,6,5,"calendar_event_exceptions.event_id, calendar_event_participants.event_id, calendar_notifications.event_id, calendar_occurrence_responses.event_id, calendar_reminder_sends.event_id",2,"projects, users",3,0,0,null,null,"id:uuid, title:text, description:text, location:text, created_by:uuid, start_at:timestamp with time zone, end_at:timestamp with time zone, event_type:text, is_private:boolean, all_day:boolean, created_at:timestamp with time zone, updated_at:timestamp with time zone, project_id:uuid, recurrence:text, reminder_offsets:ARRAY, busy:boolean"
calendar_notifications,0,32 kB,9,3,0,null,2,"calendar_events, users",0,0,0,null,null,"id:uuid, event_id:uuid, user_id:uuid, occurrence_start_at:timestamp with time zone, offset_minutes:integer, title:text, body:text, acknowledged_at:timestamp with time zone, created_at:timestamp with time zone"
calendar_occurrence_responses,0,40 kB,7,4,0,null,2,"calendar_events, users",0,0,0,null,null,"id:uuid, event_id:uuid, user_id:uuid, original_start_at:timestamp with time zone, response:text, acknowledged_at:timestamp with time zone, created_at:timestamp with time zone"
calendar_reminder_sends,0,24 kB,6,3,0,null,2,"calendar_events, users",0,0,0,null,null,"id:uuid, event_id:uuid, user_id:uuid, offset_minutes:integer, occurrence_start_at:timestamp with time zone, sent_at:timestamp with time zone"
chat_conversations,5,32 kB,5,1,2,"chat_messages.conversation_id, chat_participants.conversation_id",1,users,5,0,0,null,null,"id:uuid, name:text, is_group:boolean, created_by:uuid, created_at:timestamp with time zone"
chat_messages,82,80 kB,9,2,0,null,2,"chat_conversations, users",82,0,0,null,null,"id:uuid, conversation_id:uuid, sender_id:uuid, content:text, created_at:timestamp with time zone, file_url:text, file_name:text, file_size:bigint, file_type:text"
chat_participants,15,72 kB,5,4,0,null,2,"chat_conversations, users",15,0,0,null,null,"id:uuid, conversation_id:uuid, user_id:uuid, joined_at:timestamp with time zone, last_read_at:timestamp with time zone"
companies,10,32 kB,15,1,0,null,0,null,10,0,0,null,null,"id:uuid, name:text, tax_id:text, vat_id:text, address:text, city:text, postal_code:text, country:text, bank_account:text, bank_name:text, contact_person:text, contact_email:text, contact_phone:text, is_active:boolean, created_at:timestamp with time zone"
company_bank_accounts,28,48 kB,9,2,7,"accounting_invoices.company_bank_account_id, accounting_payments.company_bank_account_id, accounting_payments.cesija_bank_account_id, bank_credits.disbursed_to_bank_account_id, company_loans.from_bank_account_id, company_loans.to_bank_account_id, project_investments.disbursed_to_bank_account_id",1,accounting_companies,28,0,0,null,null,"id:uuid, company_id:uuid, bank_name:text, account_number:text, initial_balance:numeric, current_balance:numeric, created_at:timestamp with time zone, updated_at:timestamp with time zone, balance_reset_at:timestamp with time zone"
company_loans,2,32 kB,8,1,0,null,4,"accounting_companies, accounting_companies, company_bank_accounts, company_bank_accounts",2,0,0,null,null,"id:uuid, from_company_id:uuid, from_bank_account_id:uuid, to_company_id:uuid, to_bank_account_id:uuid, amount:numeric, loan_date:date, created_at:timestamp with time zone"
contract_types,3,48 kB,5,2,1,contracts.contract_type_id,0,null,3,0,0,null,null,"id:integer, name:text, description:text, is_active:boolean, created_at:timestamp with time zone"
contracts,144,176 kB,24,7,4,"accounting_invoices.contract_id, subcontractor_documents.contract_id, subcontractor_milestones.contract_id, work_logs.contract_id",4,"contract_types, project_phases, projects, subcontractors",144,0,0,null,null,"id:uuid, contract_number:text, project_id:uuid, phase_id:uuid, subcontractor_id:uuid, job_description:text, contract_amount:numeric, budget_realized:numeric, start_date:date, end_date:date, status:text, terms:text, signed:boolean, signed_date:date, notes:text, created_at:timestamp with time zone, updated_at:timestamp with time zone, has_contract:boolean, contract_type_id:integer, base_amount:numeric, vat_rate:numeric, vat_amount:numeric, total_amount:numeric, total_invoices_amount:numeric"
credit_allocations,4,80 kB,11,4,3,"accounting_invoices.credit_allocation_id, accounting_payments.cesija_credit_allocation_id, accounting_payments.credit_allocation_id",2,"bank_credits, projects",4,0,0,null,null,"id:uuid, credit_id:uuid, project_id:uuid, allocated_amount:numeric, description:text, created_at:timestamp with time zone, updated_at:timestamp with time zone, used_amount:numeric, allocation_type:text, refinancing_entity_type:text, refinancing_entity_id:uuid"
customers,4,80 kB,16,4,3,"accounting_invoices.customer_id, leads.customer_id, sales.customer_id",0,null,5,0,1,null,null,"id:uuid, name:text, surname:text, email:text, phone:text, address:text, bank_account:text, id_number:text, status:text, created_at:timestamp with time zone, customer_number:integer, preferences:jsonb, last_contact_date:timestamp with time zone, backed_out_reason:text, notes:text, priority:text"
document_associations,306,168 kB,4,4,0,null,1,documents,306,0,0,null,null,"id:uuid, document_id:uuid, entity_type:text, entity_id:uuid"
document_categories,23,64 kB,10,3,2,"document_categories.parent_id, documents.category_id",1,document_categories,23,0,0,null,null,"id:uuid, code:text, name_hr:text, parent_id:uuid, path:text, display_order:integer, required_associations:jsonb, is_active:boolean, created_at:timestamp with time zone, updated_at:timestamp with time zone"
documents,133,168 kB,11,4,1,document_associations.document_id,1,document_categories,133,0,0,null,null,"id:uuid, file_path:text, file_name:text, file_size:integer, mime_type:text, category_id:uuid, source:text, description:text, uploaded_by:uuid, uploaded_at:timestamp with time zone, search_text:tsvector"
funding_payments,0,40 kB,12,4,0,null,4,"bank_credits, banks, investors, project_investments",0,0,0,null,null,"id:uuid, investor_id:uuid, bank_id:uuid, project_investment_id:uuid, bank_credit_id:uuid, amount:numeric, payment_date:date, payment_type:text, notes:text, created_by:uuid, created_at:timestamp with time zone, updated_at:timestamp with time zone"
garages,9,32 kB,10,1,1,apartment_garages.garage_id,1,buildings,9,0,0,null,null,"id:uuid, building_id:uuid, number:text, floor:integer, size_m2:numeric, price:numeric, status:text, buyer_name:text, created_at:timestamp with time zone, price_per_m2:numeric"
hidden_approved_invoices,188,104 kB,4,4,0,null,2,"accounting_invoices, users",189,0,1,null,null,"id:uuid, invoice_id:uuid, hidden_at:timestamp with time zone, hidden_by:uuid"
investors,2,32 kB,13,1,4,"accounting_invoices.investor_id, funding_payments.investor_id, project_investments.investor_id, subcontractors.financed_by_investor_id",0,null,2,0,0,null,null,"id:uuid, name:text, type:text, contact_person:text, contact_email:text, contact_phone:text, total_invested:numeric, expected_return:numeric, investment_start:date, risk_profile:text, preferred_sectors:text, notes:text, created_at:timestamp with time zone"
invoice_categories,36,48 kB,5,2,0,null,0,null,36,0,0,null,null,"id:uuid, name:text, sort_order:integer, is_active:boolean, created_at:timestamp with time zone"
leads,0,16 kB,12,1,0,null,2,"customers, projects",0,0,0,null,null,"id:uuid, customer_id:uuid, project_id:uuid, apartment_preferences:text, budget_range_min:numeric, budget_range_max:numeric, priority:text, status:text, last_contact_date:date, next_follow_up:date, notes:text, created_at:timestamp with time zone"
monthly_budgets,24,64 kB,7,3,0,null,0,null,24,0,0,null,null,"id:uuid, year:integer, month:integer, budget_amount:numeric, notes:text, created_at:timestamp with time zone, updated_at:timestamp with time zone"
office_suppliers,83,48 kB,8,2,1,accounting_invoices.office_supplier_id,0,null,83,0,0,null,null,"id:uuid, name:text, contact:text, email:text, address:text, tax_id:text, vat_id:text, created_at:timestamp with time zone"
old_invoices,0,8192 bytes,7,1,0,null,2,"projects, subcontractors",0,0,0,null,null,"id:uuid, project_id:uuid, amount:numeric, due_date:date, paid:boolean, subcontractor_id:uuid, created_at:timestamp with time zone"
